timestamp,open,high,low,close,volume
2026-06-22 19:00:00,1.1331,1.1353,1.1299,1.1345,1095383.425671
2026-06-22 20:00:00,1.1343,1.1374,1.1296,1.132,672628.754427
2026-06-22 21:00:00,1.1319,1.133,1.1258,1.1316,956534.244525
2026-06-22 22:00:00,1.1317,1.1344,1.1217,1.1276,1565372.979908
2026-06-22 23:00:00,1.1275,1.1307,1.1264,1.1297,495046.46794
2026-06-23 00:00:00,1.1296,1.1322,1.1266,1.1317,804655.001284
2026-06-23 01:00:00,1.1314,1.1339,1.1226,1.1292,680114.473082
2026-06-23 02:00:00,1.1289,1.1304,1.1252,1.1297,469432.317274
2026-06-23 03:00:00,1.1297,1.1297,1.1258,1.1275,327784.501729
2026-06-23 04:00:00,1.1275,1.1281,1.1162,1.1175,1207784.620894
2026-06-23 05:00:00,1.1176,1.1195,1.1138,1.1157,666160.885013
2026-06-23 06:00:00,1.1159,1.1164,1.1078,1.1132,2453619.73919
2026-06-23 07:00:00,1.1134,1.1173,1.1128,1.1128,418073.718169
2026-06-23 08:00:00,1.1129,1.1156,1.0946,1.1003,2193507.4319
2026-06-23 09:00:00,1.1004,1.1055,1.1004,1.1038,817374.326132
2026-06-23 10:00:00,1.1037,1.1077,1.1014,1.1042,619751.709553
2026-06-23 11:00:00,1.1044,1.1105,1.104,1.1094,808389.888293
2026-06-23 12:00:00,1.1096,1.1098,1.0996,1.101,1270986.456746
2026-06-23 13:00:00,1.1012,1.1061,1.0964,1.1028,1562187.811997
2026-06-23 14:00:00,1.1028,1.1084,1.1004,1.1016,1063635.850833
2026-06-23 15:00:00,1.1015,1.1015,1.0921,1.0992,1856323.903652
2026-06-23 16:00:00,1.0991,1.1044,1.0971,1.1014,802207.118843
2026-06-23 17:00:00,1.1011,1.1048,1.0966,1.0979,529065.293458
2026-06-23 18:00:00,1.098,1.1017,1.0956,1.0985,536715.720938
2026-06-23 19:00:00,1.0986,1.1051,1.0971,1.102,838345.416487
2026-06-23 20:00:00,1.1021,1.1054,1.102,1.1043,318378.783016
2026-06-23 21:00:00,1.1045,1.1067,1.1035,1.1049,524928.218096
2026-06-23 22:00:00,1.1049,1.1124,1.1045,1.109,547993.817731
2026-06-23 23:00:00,1.1091,1.1118,1.1059,1.1103,300505.555347
2026-06-24 00:00:00,1.1102,1.1128,1.1088,1.1112,945108.273346
2026-06-24 01:00:00,1.1113,1.1139,1.1073,1.109,450564.52693
